ph_value_filtered,do_value_filtered,temp_value_filtered,salinity_value_filtered
9.041,9.661,29.557,357.186
9.043,9.660,29.559,360.797
9.041,9.659,29.561,364.764
9.037,9.658,29.562,368.360
9.028,9.658,29.562,371.013
9.016,9.658,29.561,372.636
9.000,9.657,29.560,373.590
8.981,9.657,29.559,374.378
8.961,9.657,29.558,375.465
8.939,9.656,29.557,377.283
8.916,9.655,29.556,380.168
8.894,9.654,29.556,384.148
8.874,9.653,29.555,388.760
8.857,9.651,29.554,393.044
8.845,9.650,29.552,395.776
8.838,9.650,29.548,395.949
8.839,9.650,29.543,393.411
8.848,9.651,29.537,389.014
8.865,9.652,29.532,383.922
8.889,9.653,29.528,379.044
8.918,9.654,29.525,375.211
8.950,9.654,29.523,373.217
8.983,9.654,29.523,373.437
9.014,9.653,29.524,375.645
9.042,9.652,29.525,379.289
9.066,9.651,29.527,383.795
9.084,9.649,29.529,388.684
9.095,9.648,29.532,393.654
9.101,9.647,29.536,398.634
9.101,9.645,29.540,403.708
9.096,9.644,29.545,408.971
9.088,9.643,29.550,414.337
9.078,9.641,29.555,419.320
9.065,9.640,29.558,423.185
9.052,9.640,29.560,425.543
9.040,9.639,29.561,426.533
9.029,9.639,29.561,426.331
9.019,9.640,29.560,424.899
9.011,9.641,29.558,422.345
9.002,9.642,29.557,419.236
8.993,9.643,29.557,416.371
8.982,9.643,29.558,414.272
8.968,9.644,29.561,413.119
8.952,9.644,29.565,413.119
8.935,9.644,29.570,414.523
8.921,9.644,29.575,417.278
8.910,9.643,29.580,420.811
8.905,9.643,29.584,423.881
8.906,9.642,29.586,424.718
8.914,9.643,29.586,421.999
8.927,9.645,29.584,415.650
8.942,9.647,29.581,406.351
8.960,9.650,29.578,394.839
8.976,9.654,29.574,382.044
8.990,9.657,29.571,369.240
9.000,9.660,29.569,357.643
9.006,9.663,29.567,347.991
9.008,9.665,29.566,340.549
9.007,9.667,29.564,335.343
9.005,9.667,29.561,332.342
9.003,9.668,29.557,331.470
9.002,9.667,29.552,332.555
9.003,9.666,29.546,335.275
9.006,9.665,29.541,339.145
9.010,9.664,29.537,343.647
9.013,9.663,29.534,348.340
9.016,9.661,29.533,352.816
9.017,9.660,29.532,356.663
9.018,9.659,29.531,359.578
9.017,9.659,29.531,361.655
9.015,9.658,29.531,363.428
9.012,9.658,29.531,365.376
9.006,9.657,29.532,367.402
8.996,9.656,29.534,368.803
8.984,9.656,29.535,368.709
8.966,9.657,29.535,366.494
8.943,9.659,29.535,361.883
8.914,9.661,29.533,354.932
8.880,9.664,29.530,345.915
8.841,9.667,29.525,335.103
8.797,9.671,29.518,322.731
8.749,9.675,29.510,309.164
8.699,9.680,29.500,295.027
